"","X1_validation","X2_validation","Y_validation"
"1",2380,720,4
"2",2642,45,3
"3",2764,502,4
"4",2189,370,4
"5",806,400,5
"6",446,72,4
"7",2326,813,4
"8",2586,883,1
"9",1331,552,4
"10",2769,648,4
"11",669,744,5
"12",1295,612,5
"13",130,116,3
"14",1041,20,4
"15",2908,76,4
"16",1605,690,4
"17",2525,881,5
"18",2689,635,4
"19",927,875,5
"20",1653,228,5
"21",985,497,3
"22",2476,459,5
"23",1840,858,4
"24",2242,35,4
"25",1970,693,2
"26",1131,236,4
"27",1982,984,5
"28",866,655,4
"29",227,861,5
"30",11,884,4
"31",1434,526,4
"32",2746,151,4
"33",1191,197,3
"34",1328,67,1
"35",2772,861,4
"36",2207,978,3
"37",2816,161,5
"38",2356,211,5
"39",1646,631,5
"40",2771,938,3
"41",1840,44,5
"42",1450,927,5
"43",1640,81,5
"44",791,522,3
"45",2066,331,2
"46",2020,617,3
"47",586,526,4
"48",1539,56,4
"49",1358,557,4
"50",2580,925,3
"51",509,666,5
"52",1536,978,3
"53",2037,374,4
"54",158,261,2
"55",1556,142,4
"56",840,383,2
"57",2518,401,5
"58",98,261,4
"59",172,17,5
"60",356,478,3
"61",2947,191,4
"62",518,154,4
"63",2589,740,2
"64",592,230,3
"65",878,526,4
"66",818,709,4
"67",2050,756,3
"68",1096,304,2
"69",2595,224,5
"70",2233,214,4
"71",2207,751,2
"72",570,95,5
"73",2422,247,4
"74",1833,972,5
"75",83,491,2
"76",856,123,3
"77",1889,42,4
"78",2770,1009,5
"79",719,947,5
"80",1010,219,4
"81",1744,849,4
"82",2992,449,3
"83",733,1023,4
"84",2306,347,4
"85",1489,829,5
"86",291,420,4
"87",1159,927,3
"88",1817,615,2
"89",2562,709,3
"90",2171,314,5
"91",48,1018,4
"92",1254,762,3
"93",2677,872,3
"94",2090,228,5
"95",2536,251,2
"96",2202,987,3
"97",20,122,2
"98",1729,795,3
"99",1660,631,2
"100",1041,317,4
"101",1318,499,4
"102",2306,401,3
"103",1659,209,2
"104",959,773,3
"105",2808,254,3
"106",2742,148,4
"107",1749,1018,4
"108",407,95,5
"109",2245,442,3
"110",2980,445,4
"111",171,433,4
"112",1605,582,5
"113",114,891,4
"114",1335,908,3
"115",194,953,5
"116",2015,152,2
"117",215,523,5
"118",941,386,3
"119",2989,829,5
"120",1449,58,3
"121",509,34,5
"122",2924,323,3
"123",1497,396,4
"124",237,511,3
"125",1977,875,4
"126",571,572,4
"127",866,717,1
"128",2613,316,3
"129",488,371,5
"130",2370,69,3
"131",961,967,5
"132",30,400,4
"133",386,539,4
"134",2557,217,2
"135",838,645,4
"136",178,342,5
"137",2101,183,4
"138",2171,278,3
"139",2603,48,5
"140",1610,444,4
"141",113,854,5
"142",324,220,4
"143",1734,1028,3
"144",2820,684,3
"145",2484,832,4
"146",341,555,3
"147",114,103,5
"148",163,186,5
"149",1626,60,5
"150",1924,506,4
"151",379,792,3
"152",2604,56,4
"153",1972,501,5
"154",1985,170,4
"155",168,310,4
"156",1784,28,5
"157",2828,333,5
"158",1155,7,4
"159",262,1001,2
"160",2042,581,3
"161",2234,937,4
"162",2633,203,4
"163",2671,308,4
"164",926,992,5
"165",11,898,2
"166",214,982,3
"167",268,540,5
"168",1926,130,3
"169",110,539,5
"170",1823,725,3
"171",2890,688,3
"172",977,978,4
"173",780,533,5
"174",1066,372,1
"175",595,445,4
"176",1289,150,5
"177",297,615,5
"178",778,28,5
"179",1096,121,3
"180",312,730,3
"181",1852,304,3
"182",2117,1006,5
"183",1733,611,3
"184",2244,45,3
"185",1807,627,5
"186",2200,522,5
"187",2515,23,3
"188",2397,254,4
"189",24,354,4
"190",482,477,4
"191",1401,215,4
"192",676,327,4
"193",168,251,4
"194",2576,129,4
"195",864,115,1
"196",774,836,5
"197",481,281,3
"198",2140,82,3
"199",1230,728,3
"200",154,940,3
"201",2819,714,5
"202",469,565,4
"203",2276,913,1
"204",1144,810,4
"205",2554,791,3
"206",834,88,5
"207",286,609,5
"208",2925,158,1
"209",1444,438,2
"210",1019,62,5
"211",507,564,4
"212",1748,157,4
"213",2388,717,5
"214",507,939,5
"215",2604,289,5
"216",2069,790,3
"217",2133,153,1
"218",2459,806,3
"219",674,343,4
"220",1444,536,2
"221",1872,63,3
"222",524,266,3
"223",1161,809,2
"224",965,256,5
"225",1180,552,5
"226",902,520,3
"227",163,940,5
"228",2363,186,4
"229",470,365,4
"230",1409,242,4
"231",1029,635,5
"232",1576,578,4
"233",2404,31,4
"234",2414,514,4
"235",2580,675,4
"236",1052,645,4
"237",2215,790,1
"238",1082,543,4
"239",944,242,3
"240",679,676,4
"241",1167,549,5
"242",1574,216,3
"243",2088,937,5
"244",1965,304,4
"245",2426,711,4
"246",1741,196,3
"247",1576,89,3
"248",167,616,3
"249",575,317,4
"250",959,88,5
"251",816,944,5
"252",609,245,3
"253",1867,915,2
"254",612,501,4
"255",566,650,4
"256",2822,494,4
"257",2813,1019,4
"258",282,4,2
"259",257,967,4
"260",2097,409,5
"261",2595,621,3
"262",985,903,3
"263",2318,926,2
"264",1323,116,4
"265",2126,814,4
"266",1966,613,3
"267",745,719,5
"268",726,841,3
"269",2237,661,3
"270",585,915,5
"271",2555,997,5
"272",2478,143,3
"273",809,621,4
"274",898,915,5
"275",2262,629,3
"276",2193,884,5
"277",1682,551,4
"278",2188,832,2
"279",2057,479,4
"280",1535,137,3
