"","X1_test","X2_test","Y_test"
"1",1315,1,3
"2",806,1,3
"3",125,1,4
"4",1693,1,3
"5",2047,1,4
"6",290,1,2
"7",791,1,2
"8",789,1,4
"9",133,1,5
"10",1713,1,5
"11",2766,1,4
"12",1035,1,4
"13",1835,1,3
"14",1586,1,3
"15",2444,1,3
"16",1870,1,4
"17",1948,1,4
"18",1471,1,3
"19",2882,1,5
"20",2006,1,3
"21",2925,1,4
"22",287,1,3
"23",615,1,4
"24",812,1,5
"25",11,1,4
"26",491,1,3
"27",2181,1,3
"28",2692,1,4
"29",1244,1,4
"30",1197,1,5
"31",330,1,5
"32",437,1,5
"33",366,1,3
"34",2025,1,3
"35",2179,1,3
"36",696,1,5
"37",2503,1,3
"38",1933,1,4
"39",245,1,4
"40",1882,1,4
"41",128,1,4
"42",2410,1,3
"43",2081,1,4
"44",2734,1,5
"45",750,1,5
"46",395,1,5
"47",558,1,4
"48",467,1,3
"49",156,1,4
"50",2801,1,5
"51",1956,1,3
"52",66,1,5
"53",996,1,4
"54",1570,1,3
"55",428,1,4
"56",1160,1,2
"57",1450,1,3
"58",2872,1,4
"59",2441,1,4
"60",1423,1,4
"61",155,1,4
"62",1095,1,4
"63",2759,1,1
"64",243,1,4
"65",2525,1,2
"66",333,1,4
"67",1676,1,4
"68",2936,1,5
"69",2248,1,2
"70",359,1,3
"71",616,1,2
"72",1344,1,5
"73",1980,2,4
"74",2496,2,5
"75",282,2,3
"76",877,2,5
"77",338,2,4
"78",1636,2,4
"79",1415,2,3
"80",623,2,5
"81",2571,2,4
"82",2145,2,2
"83",2254,2,2
"84",49,2,5
"85",2394,2,5
"86",1589,2,5
"87",1796,2,4
"88",2984,2,3
"89",916,2,3
"90",962,2,4
"91",2678,2,4
"92",2933,2,4
"93",2559,2,4
"94",1745,2,4
"95",2382,2,5
"96",1127,2,5
"97",340,2,5
"98",1362,2,3
"99",658,2,1
"100",31,2,3
"101",538,2,3
"102",2219,2,4
"103",1686,2,5
"104",2391,2,3
"105",688,2,3
"106",2553,2,4
"107",2039,2,3
"108",331,2,4
"109",585,2,4
"110",2429,2,1
"111",841,2,5
"112",1586,2,4
"113",1191,2,4
"114",2664,2,4
"115",399,2,4
"116",400,2,5
"117",1717,2,4
"118",1002,2,4
"119",726,2,4
"120",276,2,5
"121",1456,2,5
"122",1998,2,4
"123",2144,2,5
"124",835,2,4
"125",112,2,4
"126",2043,2,3
"127",2357,2,3
"128",2882,2,3
