"","X1_validation","X2_validation","Y_validation_add1"
"1",1858,644,4.18480191282242
"2",2539,296,4.2459252898351
"3",2731,706,4.09108714948178
"4",430,725,3.20201164799326
"5",1612,259,4.8019732813221
"6",1569,329,4.89013048819986
"7",155,721,3.07635135402563
"8",854,224,5.13789676016823
"9",1306,43,5.17165503056657
"10",514,456,1.0702263235489
"11",2954,979,3.94439225913684
"12",2157,883,3.90534014128275
"13",2158,212,5.05921619852129
"14",491,482,4.17817926586332
"15",1415,349,4.81060782603889
"16",1726,36,3.88080127400316
"17",1825,997,3.12069281547002
"18",2382,242,3.92299074731884
"19",1817,51,4.26016140167775
"20",758,178,2.01240104808121
"21",891,850,3.09475463121223
"22",1780,170,4.19426858157817
"23",344,246,3.13142576152768
"24",1731,454,3.0792946721861
"25",1295,157,4.19629803529114
"26",2132,37,2.88985313195221
"27",220,187,3.80657282615508
"28",2742,965,3.02020499068358
"29",447,1010,3.09806933743494
"30",1226,943,2.90696227322761
"31",1252,710,3.87031100284335
"32",1726,743,3.10674188341194
"33",881,61,2.84262172377217
"34",1227,346,4.96265330826567
"35",2349,546,3.00819686110397
"36",2103,703,4.15288129691693
"37",2602,172,4.07937244156205
"38",621,845,4.12712667167996
"39",176,68,4.87843350774947
"40",1439,242,3.8523087362705
"41",2756,697,5.08731654345653
"42",2540,18,3.94370040816918
"43",2515,725,4.77700579118378
"44",721,499,5.04283664805328
"45",814,41,5.03038002026113
"46",1396,358,3.86489242278555
"47",2676,429,4.05292199615551
"48",822,408,5.16542763014789
"49",2678,251,4.13873734789535
"50",2790,309,2.90268195603908
"51",247,541,4.94397851273975
"52",1391,789,4.01103953380608
"53",902,860,3.12631693795728
"54",1946,990,2.90624669439418
"55",2697,495,4.11736062163982
"56",984,535,2.12677130946364
"57",858,251,4.81245572873184
"58",1293,66,1.81749790827465
"59",2847,310,3.75458698341435
"60",387,445,3.13945892233322
"61",2628,927,3.0443698458533
"62",2249,28,3.86503490505708
"63",426,320,3.88497914641239
"64",853,978,2.90740228188238
"65",2615,771,3.97430800259211
"66",2407,295,4.01549892224104
"67",328,410,4.88770336106983
"68",331,650,3.99597038609101
"69",2001,87,5.15528261637063
"70",298,937,1.94830482695185
"71",905,56,4.01444145116433
"72",167,572,4.03179160849577
"73",2489,397,5.15240178452589
"74",2830,578,5.0153875971155
"75",2948,982,3.87848679491349
"76",162,544,4.1333247087084
"77",2709,750,3.05291844005419
"78",3000,841,2.77670106516757
"79",1554,694,2.89092657841002
"80",539,634,5.14436874191357
"81",2341,760,1.92527454560439
"82",2676,555,5.04153551522008
"83",1730,208,1.27689495724409
"84",1307,115,4.04625482915093
"85",2940,100,3.06763243150452
"86",987,459,3.12783067297703
"87",241,829,5.09497465439071
"88",1503,547,3.21002293449336
"89",1881,646,4.79811131509557
"90",2915,322,5.13749462213204
"91",759,175,3.05060039167455
"92",2250,178,3.28111929966777
"93",2769,264,1.1889942023116
"94",1541,88,3.90001502324166
"95",2985,241,4.21323845414317
"96",2133,693,1.1008351083984
"97",1422,407,3.17232877336881
"98",392,829,3.88510217636684
"99",2630,467,5.00934933645267
"100",1221,627,2.83764533275997
"101",2633,908,2.95299311072401
"102",124,658,4.07350772669879
"103",1561,979,3.0820726866577
"104",616,136,1.73425548481005
"105",2729,660,4.18064232175882
"106",2058,202,1.95346347805224
"107",1729,172,3.1339879407838
"108",638,141,0.968331250550242
"109",1650,922,1.82232586802932
"110",1630,318,0.7760368047844
"111",808,333,3.84927054162965
"112",2145,940,4.96521067371422
"113",2390,63,3.99930325499055
"114",2883,753,5.1608144541121
"115",1742,325,3.75861486106575
"116",611,304,2.26611700906092
"117",2098,774,0.860558869989231
"118",251,831,3.86934423743272
"119",1611,655,2.88103904410062
"120",1663,158,1.92728479027631
"121",2025,255,3.0326282343838
"122",1363,392,3.33861868806985
"123",1984,163,2.94459232564425
"124",427,983,3.89699805177268
"125",2725,277,2.91823899319117
"126",635,359,3.85544766707219
"127",1782,420,4.03408562559366
"128",1020,434,5.1974438282468
"129",1213,680,3.117975688345
"130",1710,123,3.16944232626042
"131",1844,357,5.30714725954323
"132",737,895,4.13429806934653
"133",2029,795,2.03182616198026
"134",2216,503,3.08823318601754
"135",2159,897,3.84980560571302
"136",888,832,3.91554007884937
"137",2933,179,2.88060406187094
"138",2151,277,4.90913679431372
"139",1267,533,4.07799430892425
"140",318,139,4.91589423799838
"141",59,494,1.98611090682198
"142",2211,168,4.80673628982742
"143",350,203,0.919731871580162
"144",1201,192,3.18636046946352
"145",1027,874,4.07098596129861
"146",2982,250,3.08123065729966
"147",2865,714,4.99982405565904
"148",2630,989,3.8219789639993
"149",1316,396,2.82443490748285
"150",2038,672,4.04829904157175
"151",1016,682,4.82806119113595
"152",1714,551,4.07636720752363
"153",2592,800,3.88277504826725
"154",346,601,5.2461520251655
"155",2088,492,3.82488028396358
"156",457,117,5.20800650428492
"157",1108,679,5.24834775862316
"158",1899,145,5.20491216982286
"159",1471,26,4.26517710266517
"160",1861,976,2.75218879687741
"161",2196,433,3.03743388904417
"162",2382,973,3.00245658366203
"163",1130,322,2.9022412450885
"164",625,42,3.00932985919854
"165",2465,297,3.80917657772107
"166",2237,333,4.21364901632503
"167",1488,197,4.02954157896109
"168",2571,745,3.75833792694478
"169",1100,874,1.98014309220453
"170",978,393,2.82856516588972
"171",157,875,1.19535904858466
"172",2893,571,2.86002850363973
"173",2171,161,5.03186422436012
"174",2961,620,2.94507603042936
"175",1746,682,5.14825784614824
"176",2223,476,3.02110863955251
"177",2097,65,3.04218612028284
"178",1061,752,3.79512736703477
"179",2967,790,3.9008072856784
"180",2169,863,5.05827634820749
"181",1467,936,2.97227232920529
"182",2652,601,4.04491282508544
"183",2571,982,4.132469344796
"184",2805,726,5.13340911789811
"185",1568,247,5.13953714471591
"186",388,569,2.88946246678398
"187",1406,643,1.95759198336053
"188",723,70,4.89291004987159
"189",2378,161,4.04471158175213
"190",576,808,4.07011786560783
"191",1024,311,4.80732442096459
"192",347,110,3.81548473257385
"193",338,526,4.14080921630088
"194",2765,393,3.99078600325849
"195",2454,324,3.88340376322403
"196",1335,507,4.03174925086226
"197",1816,28,4.00774711149108
"198",1747,907,2.01745604069059
"199",1711,1013,3.08936649930231
"200",1232,497,3.96264038105317
"201",2488,376,4.09071211968511
"202",852,330,3.80273605240994
"203",2170,965,3.89720972596628
"204",2025,595,3.89862409531545
"205",652,707,4.06079765059978
"206",2882,857,3.16139181230629
"207",1332,527,2.22594142435024
"208",2182,1011,3.84259813777451
"209",1267,354,3.1629373132622
"210",4,682,5.0435902480797
"211",638,400,0.938252062944229
"212",1393,24,3.84678398547001
"213",90,69,1.87728770316901
"214",673,80,3.90239170016403
"215",2700,1006,2.92422087267117
"216",3,762,3.17504657379021
"217",1060,629,2.93503063931508
"218",1181,325,4.05940096312936
"219",662,219,3.11963264075441
"220",2146,390,4.28583936127981
"221",1398,113,4.15294085788387
"222",2984,211,3.06088236534569
"223",584,980,5.04690848449457
"224",1168,573,3.12722996648607
"225",1509,8,4.01677534988441
"226",577,960,3.88659786959789
"227",2646,411,5.05171752134516
"228",1612,674,3.09496843614461
"229",499,736,3.90928366770877
"230",1157,334,3.29217568604028
"231",12,572,2.9782561643963
"232",435,57,2.94969980020107
"233",738,447,0.961691877542886
"234",2203,806,0.7935103687195
"235",2252,785,5.15662023648528
"236",2765,549,4.17084038994351
"237",523,233,4.0552109386286
"238",2855,787,3.17610495805177
"239",2025,697,3.14882534159292
"240",1196,126,4.75402252583578
"241",697,186,3.80250533313988
"242",2088,232,4.86326561099965
"243",899,503,4.86150463120273
"244",950,315,2.22795760078675
"245",1118,944,3.94400826633029
"246",2039,36,3.14706115690254
"247",2628,172,3.27228429358223
"248",519,995,4.0768498011475
"249",2382,576,3.88369952156687
"250",2213,582,3.79509487821865
"251",2965,145,1.95917235675633
"252",2934,853,5.06544849670971
"253",2208,838,3.12415140407989
"254",2381,297,3.81502532730112
"255",1198,949,4.95892205424589
"256",2778,951,4.98700007395245
"257",2358,229,5.03236068685857
"258",751,813,5.12166023674199
"259",2882,672,3.0334329968597
"260",1313,919,4.2444344060928
"261",2838,609,5.14733316929586
"262",34,175,4.83212936201297
"263",969,90,4.14317398590609
"264",2227,763,2.772843435023
"265",2431,279,2.14225958661238
"266",318,1009,4.10062266492042
"267",276,97,3.94345737337971
"268",2671,761,2.96538875592041
"269",419,221,2.12969596869566
"270",22,688,2.82473021855213
"271",2674,947,5.11523972961281
"272",1456,1003,2.89617212888726
"273",870,870,4.02389806825849
"274",685,615,2.95260884740321
"275",1306,610,2.17927953005677
"276",511,595,4.22531513581665
"277",2271,607,4.17408183403059
"278",809,1028,3.78707128868798
"279",681,99,3.87404043548707
"280",976,744,3.84022529535416
"281",1258,256,2.99105763892948
"282",90,445,2.00528766596644
"283",1677,1008,4.96958462563443
"284",1067,630,4.99763137560568
"285",2769,28,1.68204203069223
"286",2592,197,2.89893775038404
"287",134,74,4.82948300831683
"288",1786,473,2.86604311370577
"289",2836,353,4.00217312428264
"290",864,7,1.9341249483196
"291",1084,613,3.09620564622337
"292",2525,819,2.95875529731627
"293",1938,1029,3.69655881729283
"294",2017,448,4.18953661561111
"295",820,221,4.16069625624485
"296",1204,393,3.99402460635439
"297",1711,701,3.70492186404042
"298",2567,545,4.98476405408491
"299",352,203,3.0235865068085
"300",2034,537,4.17040775538978
"301",157,1009,4.15767398979349
"302",2778,131,4.00285504314951
"303",1527,243,3.21495418627751
"304",1411,643,3.06856818915542
"305",905,559,3.87675258232731
"306",772,238,2.84599805086701
