"","x"
"1",393.468792967282
"2",387.78854933829
"3",384.275271384816
"4",381.631006425095
"5",379.588112461549
"6",377.432906344073
"7",375.494159450285
"8",373.795889709888
"9",372.196258318852
"10",370.611256079784
"11",369.245842786006
"12",367.842056205468
"13",366.445117393208
"14",365.200645684405
"15",363.92134493425
"16",362.630426404861
"17",361.4089316614
"18",360.190864130226
"19",359.016089474239
"20",357.792341515643
"21",356.769832023503
"22",355.694974929699
"23",354.706700897881
"24",353.595742711948
"25",352.521608878075
"26",351.577211236934
"27",350.502976795918
"28",349.541938958327
"29",348.598486130081
"30",347.628751714135
"31",346.698813358713
"32",345.748604455685
"33",344.835086802484
"34",343.956092988548
"35",342.997971991607
"36",342.122805487967
"37",341.22057989874
"38",340.47402052953
"39",339.536062533843
"40",338.595484005171
"41",337.735196084862
"42",336.958977165904
"43",336.123538399008
"44",335.304987896479
"45",334.451705042814
"46",333.695769577161
"47",332.959283492759
"48",332.11481314943
"49",331.372934969817
"50",330.581375622407
"51",329.84061894161
"52",329.063473299506
"53",328.312880561867
"54",327.556206915707
"55",326.791641315933
"56",326.057594696524
"57",325.32661248167
"58",324.613611048183
"59",323.868002943639
"60",323.14552267971
"61",322.401661090766
"62",321.716127118079
"63",320.983937542874
"64",320.323152388605
"65",319.5552956935
"66",318.901874076708
"67",318.190096794928
"68",317.457160848219
"69",316.76941968918
"70",316.151921802289
"71",315.493983887395
"72",314.851654550628
"73",314.199608077782
"74",313.546443032477
"75",312.900886113906
"76",312.23396746569
"77",311.563009360261
"78",310.921291811065
"79",310.241716454214
"80",309.591303648276
"81",308.95329040865
"82",308.320896944408
"83",307.709687584468
"84",307.024059085756
"85",306.45031158872
"86",305.821175062098
"87",305.229793986239
"88",304.639091635022
"89",304.046805046928
"90",303.429940244974
"91",302.802267664923
"92",302.194697081944
"93",301.61458703894
"94",300.992263083741
"95",300.366237295217
"96",299.78580032242
"97",299.208630896969
"98",298.5952416833
"99",298.037831518223
"100",297.468552434634
"101",296.861240476508
"102",296.325891536831
"103",295.768963439949
"104",295.178309190735
"105",294.594707599649
"106",294.04052920195
"107",293.51670610579
"108",292.952625208386
"109",292.398997009868
"110",291.839118041358
"111",291.276753144637
"112",290.736376711849
"113",290.213170588324
"114",289.607317152185
"115",289.089210603527
"116",288.581182929952
"117",287.95410981772
"118",287.454307660944
"119",286.87571358064
"120",286.323532026495
"121",285.804657752173
"122",285.214801442477
"123",284.709150234332
"124",284.152706161045
"125",283.647908500891
"126",283.083670804637
"127",282.622199378634
"128",282.087026954612
"129",281.602631648925
"130",281.055085913983
"131",280.518332023257
"132",280.033445817462
"133",279.561634295235
"134",279.020417630738
"135",278.521432136547
"136",277.98453534597
"137",277.481961345573
"138",276.98177136473
"139",276.50105992778
"140",276.014921767566
"141",275.539919617901
"142",275.016191546196
"143",274.486839981103
"144",274.031738067838
"145",273.544023005923
"146",273.04278798439
"147",272.600357171368
"148",272.119486790991
"149",271.627566918669
"150",271.129183732874
"151",270.610227672305
"152",270.121853533459
"153",269.672945437584
"154",269.179143406592
"155",268.682923276718
"156",268.187143191243
"157",267.713349606388
"158",267.225144144174
"159",266.764497578911
"160",266.30820803489
"161",265.874100629866
"162",265.367245441756
"163",264.883323974394
"164",264.433512279472
"165",263.914685539916
"166",263.466852973453
"167",263.052785831505
"168",262.622839444393
"169",262.169754268442
"170",261.747523880462
"171",261.286645741092
"172",260.808101264768
"173",260.378491851145
"174",259.887859790176
"175",259.442233675483
"176",258.993201393843
"177",258.533479966975
"178",258.052167556241
"179",257.621159132384
"180",257.162604925342
"181",256.746816003201
