"","X1_test","X2_test","Y_test"
"1",839,987,5
"2",839,127,5
"3",839,350,5
"4",1683,801,5
"5",1683,587,5
"6",1683,223,5
"7",1292,69,3
"8",1292,79,5
"9",1318,33,5
"10",1318,80,4
"11",1318,535,5
"12",1318,117,5
"13",2600,298,4
"14",2600,29,4
"15",2600,19,4
"16",2600,591,3
"17",1582,855,5
"18",1582,220,5
"19",1582,461,5
"20",1582,534,5
"21",1582,8,5
"22",1582,861,5
"23",1329,868,1
"24",1329,18,5
"25",1329,17,5
"26",1454,250,1
"27",1454,2,5
"28",1454,83,5
"29",1454,131,5
"30",2608,652,5
"31",2608,139,5
"32",2608,111,5
"33",2608,56,5
"34",2608,467,5
"35",1155,81,5
"36",1155,20,5
"37",1058,40,5
"38",1058,13,5
"39",1058,52,5
"40",1058,301,3
"41",1058,793,5
"42",1058,408,4
"43",119,63,5
"44",119,41,4
"45",119,854,4
"46",119,53,3
"47",287,960,5
"48",287,771,5
"49",287,446,3
"50",287,31,5
"51",287,477,3
"52",492,364,1
"53",2533,287,5
"54",2047,817,5
"55",2047,59,5
"56",2047,105,5
"57",624,972,3
"58",624,9,5
"59",624,354,3
"60",1508,808,2
"61",1508,35,4
"62",1508,11,3
"63",1508,88,3
"64",2294,66,4
"65",2294,5,5
"66",2294,511,5
"67",2144,1,5
"68",1475,468,5
"69",1475,6,5
"70",1475,3,5
"71",1352,718,5
"72",1352,8,1
"73",1352,6,4
"74",1352,821,5
"75",2627,416,5
"76",2627,407,5
"77",2627,464,5
"78",2627,648,4
"79",198,5,3
"80",198,275,1
"81",482,552,4
"82",482,9,5
"83",482,293,1
"84",53,130,4
"85",53,47,5
"86",53,114,5
"87",2942,3,3
"88",227,9,5
"89",227,285,5
"90",227,849,5
"91",1661,141,5
"92",1913,705,5
"93",1913,297,4
"94",1913,26,5
"95",1913,240,5
"96",604,5,5
"97",710,601,5
"98",710,983,5
"99",710,229,5
"100",1384,16,3
"101",1384,759,4
"102",1384,535,5
"103",1560,606,5
"104",1560,10,4
"105",783,225,5
"106",783,53,4
"107",627,108,5
"108",627,88,5
"109",627,3,5
"110",627,295,5
"111",1696,436,5
"112",1696,607,5
"113",2484,774,4
"114",2484,344,4
"115",2484,511,3
"116",2484,880,5
"117",416,42,3
"118",416,104,2
"119",416,913,5
"120",416,659,5
"121",416,549,4
"122",416,522,3
"123",2320,11,5
"124",2320,67,5
"125",2320,115,5
"126",2804,246,5
"127",2516,9,5
"128",2516,431,3
"129",2664,40,5
"130",2664,129,5
"131",2664,197,5
"132",2664,4,5
"133",1934,461,5
"134",1568,328,3
"135",1568,275,5
"136",1785,496,1
"137",1785,985,2
"138",1785,1000,3
"139",762,442,3
"140",762,150,4
"141",1681,334,5
"142",1681,938,5
"143",1681,83,5
"144",1681,833,5
"145",1725,797,5
"146",1725,475,5
"147",1725,141,5
"148",1725,292,5
"149",362,386,5
"150",362,533,1
"151",362,777,5
"152",362,999,5
"153",362,3,1
"154",1579,280,5
"155",1579,478,5
"156",1579,26,5
"157",1579,472,4
"158",2513,496,4
"159",2513,177,3
"160",2513,12,4
"161",184,868,5
