"","X1_validation","X2_validation","Y_validation"
"1",812,817,5
"2",88,722,5
"3",18,255,1
"4",2318,650,5
"5",2423,10,5
"6",1970,281,5
"7",1619,188,3
"8",498,34,5
"9",770,237,1
"10",2743,725,1
"11",132,26,5
"12",933,504,5
"13",231,54,1
"14",809,11,4
"15",2756,24,4
"16",1965,646,5
"17",1886,354,5
"18",302,801,4
"19",776,593,5
"20",1686,204,5
"21",1070,16,5
"22",2194,24,4
"23",135,247,5
"24",217,131,5
"25",1909,4,2
"26",1582,824,1
"27",2605,83,5
"28",2328,67,3
"29",1114,26,5
"30",776,371,5
"31",1941,748,4
"32",1524,34,5
"33",937,747,4
"34",683,131,5
"35",1849,529,5
"36",138,324,5
"37",1808,750,5
"38",693,99,5
"39",2864,586,5
"40",2254,126,5
"41",1724,124,5
"42",2447,162,4
"43",553,160,5
"44",2637,103,5
"45",2190,397,5
"46",733,683,5
"47",1642,45,4
"48",835,819,5
"49",2037,854,5
"50",2735,211,5
"51",227,73,4
"52",1,243,1
"53",426,567,5
"54",227,277,5
"55",313,146,5
"56",564,217,5
"57",106,280,5
"58",2462,687,5
"59",2421,572,5
"60",519,24,2
"61",251,364,5
"62",1056,151,5
"63",806,410,5
"64",2196,50,4
"65",1389,626,5
"66",1114,335,5
"67",2179,29,5
"68",515,747,5
"69",782,37,4
"70",2448,275,5
"71",2512,975,5
"72",2016,646,5
"73",935,157,5
"74",966,19,5
"75",2314,288,4
"76",558,921,5
"77",626,34,5
"78",673,361,5
"79",2431,188,5
"80",1922,314,5
"81",2036,31,5
"82",1016,136,5
"83",758,146,5
"84",1280,31,4
"85",929,167,5
"86",1121,19,5
"87",283,301,1
"88",1884,755,5
"89",2584,516,4
"90",2466,34,5
"91",1947,19,4
"92",95,160,5
"93",402,820,5
"94",2390,446,5
"95",1654,26,4
"96",2238,292,5
"97",2684,34,5
"98",79,333,5
"99",2801,43,5
"100",2149,59,5
"101",2699,26,5
"102",1712,718,5
"103",2332,563,5
"104",1756,16,5
"105",1224,149,5
"106",1156,900,2
"107",2604,521,5
"108",1156,797,4
"109",780,497,5
"110",1377,3,5
"111",2167,571,5
"112",1302,26,5
"113",415,522,4
"114",1843,510,5
"115",2202,421,4
"116",1699,59,3
"117",2181,285,5
"118",647,25,5
"119",1904,662,5
"120",782,610,5
"121",2156,657,5
"122",637,94,5
"123",1527,518,5
"124",1499,212,5
"125",1688,31,2
"126",1293,666,4
"127",2509,948,5
"128",2304,1,5
"129",405,569,5
"130",2638,295,5
"131",1046,775,2
"132",506,320,5
"133",552,588,5
"134",2666,685,5
"135",324,610,5
"136",3000,311,5
"137",2933,3,4
"138",1642,727,4
"139",712,96,5
"140",636,38,5
"141",2079,121,5
"142",2949,566,5
"143",2954,96,5
"144",1685,521,5
"145",704,731,5
"146",1619,188,3
"147",1989,668,4
"148",1832,465,5
"149",187,749,3
"150",2019,411,1
"151",1115,59,5
"152",526,1,5
"153",1928,869,5
"154",1337,806,5
"155",1280,259,4
"156",8,302,3
"157",1322,626,5
"158",1516,180,5
"159",2786,26,5
"160",1250,26,5
"161",2247,794,5
"162",2156,19,5
"163",1572,194,4
"164",931,336,4
"165",413,33,4
"166",2690,743,5
"167",2208,801,5
"168",1456,297,5
"169",1948,593,4
"170",563,646,5
"171",947,83,5
"172",2550,74,4
"173",646,472,4
"174",421,489,5
"175",294,124,5
"176",2548,17,4
"177",2665,295,5
"178",1527,268,5
"179",1718,3,5
"180",1408,8,4
"181",1900,857,5
"182",563,992,5
"183",921,274,5
"184",2710,610,3
"185",1028,104,2
"186",2220,151,4
"187",1240,69,3
"188",846,92,5
"189",1417,15,5
"190",2499,1000,5
"191",2303,353,5
"192",1749,283,5
"193",1685,149,5
"194",1623,324,3
"195",2887,20,5
"196",1037,115,5
"197",1838,668,4
"198",1107,182,5
"199",1796,641,5
"200",1499,3,1
"201",1277,605,4
"202",949,285,5
"203",264,687,5
"204",1497,167,4
"205",185,679,5
"206",2777,641,5
"207",296,148,5
"208",1715,1,2
"209",2662,110,5
"210",1974,3,5
"211",2824,148,5
"212",873,714,5
"213",1203,261,5
"214",2213,260,5
"215",181,354,3
"216",105,344,5
"217",125,407,5
"218",1824,462,5
"219",2667,42,5
"220",1336,160,5
"221",220,52,5
"222",64,2,5
"223",323,549,5
"224",2675,786,5
"225",1638,9,5
"226",1464,38,5
"227",783,8,5
"228",1215,128,5
"229",808,836,5
"230",2441,292,5
"231",1554,881,5
"232",1467,892,5
"233",2243,49,1
"234",1443,651,5
"235",2398,662,5
"236",1506,228,3
"237",2662,507,5
"238",2814,315,5
"239",2252,470,4
"240",2472,93,5
"241",1366,714,5
"242",2377,111,5
"243",447,116,5
"244",820,222,1
"245",1450,733,5
"246",1222,59,5
"247",1916,196,5
"248",1167,859,5
"249",1378,797,5
"250",2697,92,5
"251",171,571,4
"252",2799,48,5
"253",788,819,5
"254",2668,160,5
"255",1569,338,5
"256",2501,354,5
"257",2522,959,5
"258",714,33,5
"259",2713,494,5
"260",1023,173,5
"261",1533,2,4
"262",2336,648,5
"263",350,9,5
"264",2555,152,4
"265",1981,111,5
"266",1448,327,5
"267",612,420,5
"268",1616,34,5
"269",1659,867,5
"270",1039,612,5
"271",920,332,5
"272",2960,355,5
"273",1235,3,2
"274",1080,89,5
"275",808,160,1
"276",2197,32,5
"277",2264,929,3
"278",519,493,5
"279",1172,549,5
"280",367,34,5
"281",800,465,4
"282",612,467,5
"283",686,891,5
"284",1351,606,5
"285",1626,767,5
"286",2405,115,5
"287",2104,24,5
"288",1048,876,5
"289",502,361,5
"290",518,54,5
"291",392,347,5
"292",1764,766,5
"293",1687,25,5
"294",2973,3,5
"295",33,11,5
"296",148,323,5
"297",180,160,5
"298",139,687,5
"299",169,425,5
"300",1497,26,4
"301",1043,102,3
"302",2079,25,5
"303",2637,108,5
"304",1775,227,4
"305",550,19,3
"306",825,947,5
"307",1006,524,5
"308",2743,247,5
"309",1958,384,5
"310",334,15,1
"311",652,859,4
"312",2908,218,3
"313",2327,959,5
"314",1132,517,1
"315",1819,657,5
"316",771,197,5
"317",534,87,4
"318",91,415,5
"319",2703,13,5
"320",2698,708,4
"321",2805,411,4
"322",1415,185,5
"323",370,985,5
"324",720,650,5
"325",1710,108,3
"326",1145,537,4
"327",257,543,5
"328",2346,2,5
"329",2253,515,5
"330",389,50,4
"331",2342,639,5
"332",994,763,5
"333",594,442,5
"334",397,299,2
"335",2172,734,5
"336",116,370,5
"337",1712,528,1
"338",2759,143,5
"339",1314,177,5
"340",1397,74,5
"341",2931,102,4
"342",884,64,1
"343",2194,404,5
"344",988,350,4
"345",1523,271,5
"346",960,282,3
"347",2448,40,5
"348",539,566,5
"349",2911,722,1
"350",1815,280,5
"351",1051,344,5
"352",1826,464,5
"353",1813,480,4
"354",1252,611,5
"355",1198,256,5
"356",1733,52,5
"357",1197,844,5
"358",2428,108,5
"359",1868,942,3
"360",2505,275,5
"361",1309,180,5
"362",1252,124,4
"363",269,635,3
"364",2318,641,2
"365",2946,864,5
"366",1784,63,5
"367",47,939,4
"368",2919,696,5
"369",2756,285,5
"370",1474,38,5
"371",2895,3,5
"372",822,162,5
"373",797,455,2
"374",206,303,5
"375",1636,17,5
"376",652,161,4
"377",215,703,5
"378",417,229,5
"379",2190,83,5
"380",1541,18,5
"381",2925,534,5
"382",1725,180,5
"383",675,233,4
"384",2244,96,5
"385",814,16,5
"386",2131,691,5
"387",2250,945,5
"388",853,314,5
"389",2686,434,4
"390",2452,744,5
"391",2359,62,5
"392",2904,50,5
"393",586,8,5
"394",544,893,4
"395",974,34,5
"396",476,751,5
"397",2007,3,5
"398",281,478,5
"399",1321,724,4
"400",588,212,5
"401",564,247,5
"402",2312,40,5
"403",1906,944,5
"404",355,463,4
"405",1182,49,5
"406",1620,668,5
"407",1004,847,3
"408",73,651,5
"409",2773,321,1
"410",1770,12,5
"411",2132,341,5
"412",2600,43,4
"413",170,186,4
"414",2153,320,5
"415",2650,233,5
"416",1204,902,4
"417",2485,347,5
"418",2445,352,1
"419",652,259,4
"420",1224,717,4
"421",2212,24,5
"422",1491,644,5
"423",2720,537,1
"424",1082,20,5
"425",1648,260,5
"426",910,529,4
"427",1499,477,5
"428",296,556,5
"429",2750,389,3
"430",2989,258,4
"431",2843,588,5
"432",426,34,5
"433",2282,804,4
"434",1629,74,5
"435",1394,518,5
"436",2060,225,5
"437",2945,244,1
"438",617,38,5
"439",2458,11,1
"440",2615,421,5
"441",378,511,5
"442",2818,777,5
"443",1715,80,5
"444",1977,259,3
"445",2053,497,3
"446",58,337,5
"447",1471,724,1
"448",2162,247,5
"449",2747,102,5
"450",411,196,5
"451",673,12,2
"452",2324,25,5
"453",1479,9,5
"454",1929,808,4
"455",1485,237,5
"456",2370,69,5
"457",47,52,5
"458",2601,340,5
"459",587,588,5
"460",176,252,5
"461",1545,79,1
"462",2576,145,5
"463",981,1,5
"464",1499,477,5
"465",1776,3,4
"466",593,598,4
"467",2879,68,5
"468",2244,31,5
"469",2642,397,5
"470",206,103,5
"471",1491,651,4
"472",1063,228,1
"473",358,9,5
"474",1525,124,5
"475",1306,728,5
"476",2344,794,5
"477",1194,110,5
"478",2023,785,5
"479",165,216,5
"480",2478,465,5
"481",2145,500,3
"482",927,888,5
"483",15,649,5
"484",600,42,4
"485",1005,59,5
"486",123,951,4
"487",2567,139,5
"488",1536,497,5
"489",2910,59,5
"490",2035,801,2
"491",379,128,4
"492",1179,63,5
"493",633,169,4
"494",1247,847,5
"495",1670,59,5
"496",1239,641,5
"497",571,71,4
"498",1547,474,5
"499",1439,544,5
"500",890,799,4
"501",233,102,5
"502",1599,627,3
"503",2751,6,1
"504",2358,857,5
"505",1300,69,5
"506",2063,989,2
"507",1151,350,5
"508",2358,422,5
"509",246,87,1
"510",610,876,1
"511",1436,18,5
"512",125,237,5
"513",1341,497,5
"514",2367,595,5
"515",933,17,2
"516",1553,419,5
"517",1533,532,5
"518",1498,934,5
"519",2295,635,4
"520",2976,3,5
"521",1800,160,5
"522",585,338,5
"523",756,26,5
"524",970,102,5
"525",2028,40,1
"526",1705,309,5
"527",2106,939,1
"528",986,211,3
