"","X1_train","X2_train","Y_train"
"1",820,73,5
"2",2565,250,5
"3",2886,179,5
"4",1747,744,5
"5",341,500,5
"6",917,236,5
"7",1825,667,5
"8",1134,409,5
"9",2290,224,4
"10",2354,222,5
"11",1723,196,5
"12",227,157,5
"13",1797,532,5
"14",2854,1,1
"15",1187,377,5
"16",631,342,5
"17",2844,10,5
"18",217,10,5
"19",1326,170,4
"20",1923,662,5
"21",2761,126,5
"22",305,808,5
"23",1023,172,5
"24",2202,52,5
"25",2171,588,5
"26",1453,99,5
"27",1516,253,5
"28",1063,11,2
"29",1733,252,5
"30",2806,813,4
"31",1937,266,5
"32",2974,269,5
"33",900,199,5
"34",2890,587,4
"35",1044,269,5
"36",89,5,4
"37",336,548,5
"38",461,412,5
"39",1742,46,1
"40",63,903,5
"41",440,225,5
"42",2695,428,5
"43",1512,19,5
"44",1307,722,5
"45",873,199,5
"46",225,861,5
"47",1262,180,5
"48",1702,135,5
"49",1052,293,5
"50",2956,315,5
"51",713,536,5
"52",1945,687,5
"53",1893,43,4
"54",2574,11,3
"55",2281,491,5
"56",220,580,5
"57",2434,532,5
"58",1156,193,5
"59",1338,525,4
"60",1449,547,5
"61",1194,684,5
"62",1585,483,5
"63",1617,409,5
"64",37,476,5
"65",915,604,5
"66",35,171,5
"67",275,761,5
"68",1813,3,3
"69",1128,32,1
"70",1891,248,5
"71",211,189,5
"72",1708,538,5
"73",2707,236,5
"74",1094,252,5
"75",2838,65,3
"76",67,133,4
"77",2413,19,5
"78",1649,204,5
"79",370,789,4
"80",2991,743,1
"81",412,750,4
"82",108,46,4
"83",2356,85,5
"84",2095,789,5
"85",1703,274,5
"86",1308,157,4
"87",1018,272,5
"88",2531,831,5
"89",1885,196,5
"90",41,520,5
"91",689,5,4
"92",1230,293,5
"93",1358,447,5
"94",482,757,5
"95",35,670,5
"96",864,20,3
"97",1349,313,5
"98",2108,248,5
"99",1498,5,5
"100",1478,250,5
"101",2456,57,3
"102",1561,48,5
"103",904,377,5
"104",94,391,5
"105",1662,684,4
"106",762,5,5
"107",2603,283,5
"108",2651,227,5
"109",1440,965,5
"110",2296,363,5
"111",2610,879,5
"112",1767,145,5
"113",2313,223,5
"114",760,19,5
"115",2913,169,4
"116",280,761,5
"117",767,236,4
"118",110,389,5
"119",2437,437,5
"120",492,80,4
"121",361,14,5
"122",2740,4,4
"123",1754,447,5
"124",2870,669,5
"125",2764,452,5
"126",1924,714,5
"127",171,84,5
"128",1242,103,4
"129",1588,418,3
"130",553,140,5
"131",1091,31,5
"132",1764,588,5
"133",1021,353,5
"134",1733,214,5
"135",2002,395,5
"136",1992,73,5
"137",1537,623,3
"138",1861,487,5
"139",1814,13,5
"140",2031,372,3
"141",2128,23,5
"142",2540,547,5
"143",1603,264,5
"144",1632,232,5
"145",1546,126,4
"146",2184,52,5
"147",1807,66,5
"148",1905,336,1
"149",1835,10,5
"150",1097,14,4
"151",1370,242,5
"152",938,288,5
"153",1170,31,5
"154",639,927,5
"155",212,646,5
"156",2539,34,1
"157",113,706,5
"158",391,253,4
"159",625,615,5
"160",408,103,5
"161",2046,252,5
"162",1823,833,5
"163",624,242,2
"164",1301,817,5
"165",530,344,5
"166",232,377,4
"167",2386,463,5
"168",2415,350,5
"169",2209,248,4
"170",2794,307,5
"171",2503,140,5
"172",855,378,5
"173",731,453,5
"174",1634,196,5
"175",708,124,5
"176",909,223,5
"177",1808,129,5
"178",1800,11,1
"179",1040,920,5
"180",2675,36,5
"181",351,179,5
"182",563,879,5
"183",602,567,5
"184",470,237,5
"185",828,813,5
"186",1358,66,5
"187",1875,110,5
"188",946,146,1
"189",1245,179,4
"190",2507,435,5
"191",1630,245,5
"192",2917,157,5
"193",85,183,3
"194",411,251,5
"195",549,363,5
"196",2120,264,3
"197",2466,242,5
"198",2343,94,3
"199",2114,411,5
"200",2162,588,2
"201",1067,78,5
"202",248,718,5
"203",276,588,5
"204",674,222,5
"205",1260,350,4
"206",1002,840,5
"207",257,477,5
"208",755,880,3
"209",645,113,2
"210",2804,761,5
"211",1479,966,4
"212",681,224,5
"213",1843,596,5
"214",2491,179,5
"215",62,664,5
"216",2460,71,1
"217",1126,10,5
"218",2695,951,4
"219",1551,480,5
"220",397,391,5
"221",1032,499,5
"222",1928,650,5
"223",1851,391,5
"224",513,618,4
"225",2504,412,5
"226",718,618,1
"227",1089,294,5
"228",2942,958,5
"229",393,39,5
"230",573,751,5
"231",241,196,5
"232",611,715,5
"233",907,12,3
"234",2828,42,5
"235",938,142,5
"236",995,344,5
"237",2633,179,5
"238",1235,50,1
"239",2008,15,5
"240",1502,301,5
"241",2289,25,5
"242",33,686,5
"243",2942,294,5
"244",1658,112,5
"245",1164,173,5
"246",1516,136,4
"247",54,313,4
"248",1666,242,5
"249",2561,168,4
"250",723,245,5
"251",754,332,5
"252",1712,103,5
"253",314,181,4
"254",1392,995,5
"255",1696,126,5
"256",1106,133,4
"257",609,19,5
"258",415,6,3
"259",1816,14,5
"260",635,157,4
"261",2588,758,5
"262",1400,45,5
"263",2358,46,5
"264",2460,684,5
"265",574,374,1
"266",2640,317,5
"267",1579,5,5
"268",116,388,4
"269",311,977,4
"270",916,813,5
"271",2013,343,4
"272",2403,188,5
"273",2744,964,4
"274",211,947,5
"275",964,707,4
"276",1407,283,5
"277",379,129,1
"278",127,526,4
"279",1415,8,1
"280",1978,95,5
"281",1640,477,5
"282",571,242,5
"283",272,196,5
"284",2787,482,4
"285",409,307,5
"286",1956,5,5
"287",2569,520,5
"288",1551,973,5
"289",1091,775,5
"290",1865,305,5
"291",205,485,5
"292",1068,706,5
"293",1779,241,5
"294",1384,681,3
"295",140,262,4
"296",1655,704,3
"297",2626,618,5
"298",1663,520,5
"299",678,369,5
"300",1356,30,5
"301",77,66,5
"302",2075,344,5
"303",1021,18,2
"304",1500,706,5
"305",2325,189,5
"306",1702,24,5
"307",366,766,5
"308",2021,163,5
"309",1959,514,5
"310",1133,102,5
"311",1687,129,4
"312",620,42,5
"313",83,583,5
"314",1055,606,1
"315",320,947,4
"316",1422,694,5
"317",965,505,3
"318",530,242,5
"319",1490,903,5
"320",471,466,5
"321",570,728,5
"322",2092,7,5
"323",522,66,5
"324",1673,363,5
"325",422,262,5
"326",1781,645,5
"327",2743,227,4
"328",2513,55,5
"329",518,618,5
"330",488,21,5
"331",2482,737,5
"332",683,859,5
"333",2062,133,2
"334",2724,700,5
"335",1594,327,4
"336",953,112,5
"337",1832,919,5
"338",2451,80,5
"339",1304,273,5
"340",1705,615,4
"341",1690,73,5
"342",2461,666,5
"343",1909,547,5
"344",1419,763,5
"345",2437,624,3
"346",214,2,5
"347",2699,252,2
"348",969,214,5
"349",963,36,5
"350",1863,321,3
"351",508,245,5
"352",2142,156,3
"353",585,294,5
"354",1834,352,5
"355",959,543,5
"356",2460,4,5
"357",892,571,1
"358",1637,277,5
"359",748,242,5
"360",1418,934,5
"361",1356,179,5
"362",1425,30,2
"363",1906,592,5
"364",2696,533,5
"365",1969,71,5
"366",621,744,5
"367",123,264,5
"368",2848,411,5
"369",1878,133,5
