"","X1","X2","X3","X4","X5","X6","X7","X8"
"result.1",2.43554633190068,9.85839215887421,2.34063249630955,10.5942241792464,1.96785497469294,4,1.906846137864,4
"result.2",1.19232334652188,8.93271405130146,1.17415670692846,7.44859140938863,1.1132496383044,4,1.08206609362158,4
"result.3",1.07169628179005,7.68739405777128,1.05042230775275,6.73761826294795,1.03306743996087,4,1.01011527986185,4
"result.4",1.07466543300109,7.48898164768415,1.05155656810875,6.42424352954486,1.03577774606734,4,1.01084014154287,4
"result.5",1.20525460365642,8.07052364291652,1.19084216806131,8.34065543684234,1.12558714155522,4,1.09783729564807,4
"result.6",1.07933102621847,7.68919557171402,1.05555556537149,6.81862717705928,1.03678543368742,4,1.01201910350379,4
"result.7",1.07828838821887,7.67473901720739,1.05842139263022,6.78742808977427,1.03628082000599,4,1.01433168567661,4
"result.8",1.07637172243459,7.84864999208606,1.05831483876197,6.63960217539919,1.03474572629869,4,1.01553811172781,4
"result.9",1.07606712305686,7.29123416516744,1.056514411638,6.58371319348747,1.03422402252629,4,1.0129061641465,4
"result.10",1.07182520217708,6.95163408182136,1.05592414102074,6.84923031131667,1.03385911833699,4,1.01318298391903,4
"result.11",0.941403837485409,5,0.925116660764917,5,0.932761411716292,4,0.91677373398638,4
"result.12",0.941423324381835,5,0.925140952927501,5,0.932778373651412,4,0.916796239819623,4
"result.13",0.941468020454663,5,0.925193134375763,5,0.932819778128959,4,0.916844333337381,4
"result.14",0.941493150569309,5,0.925223530824807,5,0.932842996412701,4,0.916872148235446,4
"result.15",0.941505974441884,5,0.9252432324928,5,0.932853852179013,4,0.916889696837784,4
"result.16",0.941516956016516,5,0.925248485563029,5,0.932864597993088,4,0.916893942474814,4
"result.17",0.941536094943633,5,0.925263879351756,5,0.932882750523629,4,0.916908490847474,4
"result.18",0.941541259750203,5,0.925267951585731,5,0.932887693434413,4,0.916912603630721,4
"result.19",0.941543387561277,5,0.92527211232112,5,0.932889327093149,4,0.916916316815151,4
"result.20",0.941557253224131,5,0.925288601717936,5,0.932901636402079,4,0.916930820652991,4
