"","x"
"1",0.005
"2",0.01
"3",0.015
"4",0.02
"5",0.025
"6",0.03
"7",0.035
"8",0.04
"9",0.045
"10",0.05
"11",0.055
"12",0.06
"13",0.065
"14",0.07
"15",0.075
"16",0.08
"17",0.085
"18",0.09
"19",0.095
"20",0.1
"21",0.105
"22",0.11
"23",0.115
"24",0.12
"25",0.125
"26",0.13
"27",0.135
"28",0.14
"29",0.145
"30",0.15
"31",0.155
"32",0.16
"33",0.165
"34",0.17
"35",0.175
"36",0.18
"37",0.185
"38",0.19
"39",0.195
"40",0.2
"41",0.205
"42",0.21
"43",0.215
"44",0.22
"45",0.225
"46",0.23
"47",0.235
"48",0.24
"49",0.245
"50",0.25
"51",0.255
"52",0.26
"53",0.265
"54",0.27
"55",0.275
"56",0.28
"57",0.285
"58",0.29
"59",0.295
"60",0.3
"61",0.305
"62",0.31
"63",0.315
"64",0.32
"65",0.325
"66",0.33
"67",0.335
"68",0.34
"69",0.345
"70",0.35
"71",0.355
"72",0.36
"73",0.365
"74",0.37
"75",0.375
"76",0.38
"77",0.385
"78",0.39
"79",0.395
"80",0.4
"81",0.405
"82",0.41
"83",0.415
"84",0.42
"85",0.425
"86",0.43
"87",0.435
"88",0.44
"89",0.445
"90",0.45
"91",0.455
"92",0.46
"93",0.465
"94",0.47
"95",0.475
"96",0.48
"97",0.485
"98",0.49
"99",0.495
"100",0.5
