"","x"
"1",378.068299970875
"2",373.40140502008
"3",369.722056829559
"4",366.625672944932
"5",363.694171634826
"6",361.180170480305
"7",358.495299069595
"8",356.232095674192
"9",353.982951435236
"10",351.851543406976
"11",349.827829601668
"12",347.541221906633
"13",345.701602770457
"14",343.512805993657
"15",341.60231406273
"16",339.717042110704
"17",337.803227138478
"18",336.133083487818
"19",334.539488954735
"20",332.756417759373
"21",331.075614782156
"22",329.424736461992
"23",327.762738208055
"24",326.236145793267
"25",324.515345562223
"26",322.991149691132
"27",321.564546365412
"28",319.791990523161
"29",318.347544491301
"30",316.83603645584
"31",315.316165269398
"32",313.739995330782
"33",312.275326722549
"34",310.92293956051
"35",309.478630250754
"36",307.950928560731
"37",306.412289623677
"38",305.165953918302
"39",303.756386000617
"40",302.329180495762
"41",301.033694961025
"42",299.706700212058
"43",298.411173651801
"44",297.01307512628
"45",295.657274276372
"46",294.223233824167
"47",293.022399708143
"48",291.593096534945
"49",290.342393576833
"50",289.023728573256
"51",287.716259151461
"52",286.379766604199
"53",285.151031696757
"54",283.8859039595
"55",282.462339155338
"56",281.215067010984
"57",280.0070109248
"58",278.81826677253
"59",277.611767868281
"60",276.395954129036
"61",275.12333760236
"62",273.908669381445
"63",272.602672648488
"64",271.463008255669
"65",270.136254784013
"66",268.949453893952
"67",267.851378678974
"68",266.713889904586
"69",265.544631215091
"70",264.310001912993
"71",263.178081660561
"72",261.960334354326
"73",260.720637108415
"74",259.646312058527
"75",258.493245562769
"76",257.335890167518
"77",256.130180329362
"78",254.938143100864
"79",253.892041803963
"80",252.6487573971
"81",251.553361908097
"82",250.392097504021
"83",249.269397880864
"84",248.18280949196
"85",247.085940841342
"86",245.827785117558
"87",244.802985765356
"88",243.648452375936
"89",242.543966686029
"90",241.365813089369
"91",240.266944345818
"92",239.263889228103
"93",238.216788381556
"94",237.033966669887
"95",235.958749028703
"96",234.899297305604
"97",233.719249230632
"98",232.659923238369
"99",231.535673853214
"100",230.368429505855
"101",229.427941111624
"102",228.33477544924
"103",227.304893758286
"104",226.239048065035
"105",225.285905792597
"106",224.123194450617
"107",223.195552410611
"108",222.062327221589
"109",220.987699569063
"110",219.845929650503
"111",218.804223725721
"112",217.779196212856
"113",216.76794905294
"114",215.727400621857
"115",214.682970959816
"116",213.760933510423
"117",212.728878079384
"118",211.651840156242
"119",210.62126502217
"120",209.563781934514
"121",208.484091263835
"122",207.450150339482
"123",206.324771938173
"124",205.245394279398
"125",204.177534462071
"126",203.184611245638
"127",202.210767042986
"128",201.142384057725
"129",200.057620309828
"130",198.959561207353
"131",197.959035960986
"132",197.039716024301
"133",196.016665752787
"134",195.03938321038
"135",193.983399052374
"136",192.979238145797
"137",191.936059312814
"138",190.928140113498
"139",189.960214299296
"140",189.000360869212
"141",187.906229968497
"142",186.922841472089
"143",185.969304988776
"144",184.99311914637
"145",183.880972048641
"146",182.898402690827
"147",181.848626105298
"148",180.950599627595
"149",179.909819747724
"150",178.868526006164
"151",177.919452167967
"152",176.893455308792
"153",175.952327254179
"154",174.885494941981
"155",173.82816884819
"156",172.862070241671
"157",171.835004112398
"158",170.861790957574
"159",169.907135292479
"160",168.939046235094
"161",167.940764868429
"162",166.942094175223
"163",165.947660605128
"164",164.853105698804
"165",163.826756043335
"166",162.915735399498
"167",161.95382175285
"168",160.978766292254
"169",160.011373228813
"170",158.896553407106
"171",157.90864515744
"172",156.941064432389
"173",156.013804297282
"174",154.991839792361
"175",154.038768310723
"176",153.019772107551
"177",151.988165256571
"178",150.876842288407
"179",149.93112350074
"180",148.955805411556
"181",147.860154298344
"182",146.874118907123
"183",145.939825188834
"184",144.965477838384
"185",144.006475065122
"186",143.08505661961
"187",141.981691923152
"188",141.040188495346
"189",140.078232669775
"190",139.006414522495
"191",137.992882159491
"192",136.970025712637
"193",136.067785026456
"194",135.01880316944
"195",134.051360866729
"196",132.934247488099
"197",131.976004761555
"198",131.008992793196
"199",129.935693568948
"200",128.929837417036
"201",127.896945409398
"202",126.924835331381
"203",125.883711399857
"204",124.821964896151
"205",123.824015679744
"206",122.704661265892
"207",121.63120483933
"208",120.662857394091
"209",119.621782188948
"210",118.49358955089
"211",117.537786148093
"212",116.519850338791
"213",115.483035717497
"214",114.489063683732
"215",113.517670575229
"216",112.362217863637
"217",111.353780060549
"218",110.371852734246
"219",109.286198158135
"220",108.093372179736
"221",107.054260684013
"222",105.937256991407
"223",104.724403305878
"224",103.658593185646
"225",102.627497012787
"226",101.576636959503
"227",100.344022145644
"228",99.2662327183747
"229",98.001380692572
"230",96.9181022635753
"231",95.8080523278727
"232",94.5507671747792
"233",93.3993509540458
"234",92.1773292730105
"235",90.9685124144787
"236",89.838464137042
"237",88.6487892517538
"238",87.2570158069068
"239",86.0432321158288
"240",84.6392313406883
"241",83.3693858102339
"242",81.9988811611827
"243",80.4619867328722
"244",79.0225523680794
"245",77.4289456393171
"246",75.8082575950833
"247",74.1114360783818
"248",72.0882274031528
"249",70.0448022163617
"250",67.1925027881521
