"","V1","V2","V3","V4","V5","V6","V7","V8"
"result.1",0.804571353518464,3.47812825496679,5.05263733809773,2.9435701867338,0.828123224979361,3.64622844515305,5.07744899447181,3.00385226590938
"result.2",0.804443233210475,3.47708283965971,5.05151663857571,2.94349964275889,0.828034215183711,3.64564664344111,5.0764176883486,3.00385649366907
"result.3",0.804093284576342,3.47422799947665,5.05107589630406,2.94338714203405,0.827763497321052,3.64387700863113,5.0732799604278,3.00386936282976
"result.4",0.803283596228477,3.46898817125457,5.04507429769056,2.94313124907281,0.826958588683705,3.63861439299739,5.06394112038754,3.00390771776097
"result.5",0.800870472941045,3.45462420902314,5.03066180784718,2.82548176507229,0.824572739770854,3.62300598959219,5.03617269883325,3.00402213288179
"result.6",0.793385972703066,3.40650078495868,5.00143914055328,2.82408034017401,0.818419495649972,3.58237986080352,4.96210004035238,3.0042772442117
"result.7",0.773527124415746,3.29818568061251,4.87623783996193,2.75453814233035,0.800397205509467,3.46420797757506,4.74231485404067,3.07416957772497
"result.8",0.750299590427338,3.21742226949177,4.9626278568845,3.02324380087395,0.761965849630689,3.23575511986831,4.42935734716078,2.88189084268206
"result.9",0.743707918786511,3.3933143439046,5.44407855101761,3.0809602954138,0.731548098682008,3.29261089069923,5.12471967199053,3.08773430999149
"result.10",1.1554559017311,6.04637810351242,8.51340372491802,2.57606591001304,0.943850749146519,4.81431086008077,6.54155392015736,2.38862805877024
